Year,Global_Mean_Anomaly
1961,0.16268279569892474
1962,-0.015798936170212764
1963,-0.009490159574468086
1964,-0.07094056437389772
1965,-0.24534149122807017
1966,0.105
1967,-0.11271157894736841
1968,-0.20093368421052632
1969,0.15486394736842105
1970,0.08756508771929826
1971,-0.19869851657940663
1972,-0.08473036649214659
1973,0.22709424083769633
1974,-0.15688656195462478
1975,-0.02368019197207679
1976,-0.2369738219895288
1977,0.16445287958115182
1978,0.07434293193717277
1979,0.2351020942408377
1980,0.24790314136125655
1981,0.17996989528795812
1982,0.17568586387434554
1983,0.33757853403141364
1984,0.0837565445026178
1985,0.07384031413612564
1986,0.15014397905759164
1987,0.39715314136125657
1988,0.48296073298429315
1989,0.25486361256544504
1990,0.5453371727748691
1991,0.36093747841105356
1992,0.24074241001564947
1993,0.2160192901234568
1994,0.59660262345679
1995,0.6142199074074074
1996,0.28476248079877114
1997,0.5443513824884793
1998,0.9453573348694316
1999,0.7248371735791092
2000,0.6602178462709284
2001,0.829339802130898
2002,0.9053399923896499
2003,0.8280519406392695
2004,0.7645003805175038
2005,0.8381862633181126
2006,0.8681606334841628
2007,1.0035514705882354
2008,0.799434012066365
2009,0.9020563725490196
2010,1.0794389140271494
2011,0.8130582959641256
2012,0.888677130044843
2013,0.9122914798206279
2014,1.0914125560538117
2015,1.2364170403587444
2016,1.3920726457399104
2017,1.2451318385650225
2018,1.2651798206278029
2019,1.3965357249626307
2020,1.506445440956652
2021,1.3113677130044843
2022,1.347121076233184
